Semester,Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total
Spring 2019,2/14/2019,Thursday,4:30 PM,20,3,14,5,0,42
Spring 2019,2/14/2019,Thursday,7:30 PM,9,0,1,4,0,14
Spring 2019,2/14/2019,Thursday,8:30 PM,4,0,0,2,0,6
Spring 2019,2/15/2019,Friday,7:30 AM,1,0,0,0,0,1
Spring 2019,2/15/2019,Friday,8:30 AM,4,0,0,0,0,4
Spring 2019,2/15/2019,Friday,9:30 AM,3,0,1,0,0,4
Spring 2019,2/15/2019,Friday,11:30 AM,6,3,4,0,1,14
Spring 2019,2/15/2019,Friday,12:30 PM,9,4,2,0,1,16
Spring 2019,2/15/2019,Friday,2:30 PM,8,3,1,0,0,12
Spring 2019,2/15/2019,Friday,5:30 PM,5,3,1,3,0,12
Spring 2019,2/15/2019,Friday,6:30 PM,9,1,3,3,0,16
Spring 2019,2/15/2019,Friday,7:30 PM,5,1,3,1,0,10
Spring 2019,2/15/2019,Friday,8:30 PM,2,1,2,0,0,5
Spring 2019,2/16/2019,Saturday,9:30 AM,0,0,2,0,0,2
Spring 2019,2/16/2019,Saturday,10:30 AM,4,2,3,0,1,10
Spring 2019,2/16/2019,Saturday,11:30 AM,7,2,4,0,2,15
Spring 2019,2/16/2019,Saturday,1:30 PM,7,1,2,2,2,14
Spring 2019,2/16/2019,Saturday,2:30 PM,4,1,3,1,0,9
Spring 2019,2/16/2019,Saturday,3:30 PM,8,2,7,2,0,19
Spring 2019,2/16/2019,Saturday,4:30 PM,7,0,3,1,0,11
Spring 2019,2/16/2019,Saturday,5:30 PM,3,0,0,2,0,5
Spring 2019,2/18/2019,Monday,7:30 AM,2,0,0,0,0,2
Spring 2019,2/18/2019,Monday,8:30 AM,9,2,10,2,0,23
Spring 2019,2/18/2019,Monday,9:30 AM,16,6,13,4,0,39
Spring 2019,2/18/2019,Monday,10:30 AM,24,13,28,7,4,76
Spring 2019,2/18/2019,Monday,2:30 PM,34,10,19,1,7,71
Spring 2019,2/18/2019,Monday,3:30 PM,25,7,13,3,3,51
Spring 2019,2/18/2019,Monday,4:30 PM,17,7,15,0,2,41
Spring 2019,2/18/2019,Monday,5:30 PM,24,7,17,0,1,49
Spring 2019,2/18/2019,Monday,7:30 PM,11,2,10,2,6,31
Spring 2019,2/18/2019,Monday,8:30 PM,6,1,9,2,2,20
Spring 2019,2/19/2019,Tuesday,7:30 AM,10,0,1,0,2,13
Spring 2019,2/19/2019,Tuesday,8:30 AM,6,1,9,4,3,23
Spring 2019,2/19/2019,Tuesday,10:30 AM,34,7,25,10,5,81
Spring 2019,2/19/2019,Tuesday,11:30 AM,21,5,27,3,3,59
Spring 2019,2/19/2019,Tuesday,12:30 PM,37,4,39,4,3,87
Spring 2019,2/19/2019,Tuesday,1:30 PM,25,6,14,4,2,51
Spring 2019,2/19/2019,Tuesday,2:30 PM,24,9,14,2,0,49
Spring 2019,2/19/2019,Tuesday,3:30 PM,20,6,12,4,0,42
Spring 2019,2/19/2019,Tuesday,4:30 PM,20,4,9,4,0,37
Spring 2019,2/19/2019,Tuesday,5:30 PM,19,3,9,5,1,37
Spring 2019,2/19/2019,Tuesday,6:30 PM,16,1,5,1,2,25
Spring 2019,2/19/2019,Tuesday,7:30 PM,17,0,6,1,1,25
Spring 2019,2/19/2019,Tuesday,8:30 PM,5,0,0,0,0,5
Spring 2019,2/20/2019,Wednesday,7:30 AM,4,0,0,0,0,4
Spring 2019,2/20/2019,Wednesday,8:30 AM,13,2,13,3,0,31
Spring 2019,2/20/2019,Wednesday,9:30 AM,23,5,12,4,1,45
Spring 2019,2/20/2019,Wednesday,10:30 AM,23,7,14,12,0,56
Spring 2019,2/20/2019,Wednesday,11:30 AM,24,10,24,4,0,62
Spring 2019,2/20/2019,Wednesday,12:30 PM,39,10,39,9,7,104
Spring 2019,2/20/2019,Wednesday,1:30 PM,34,6,15,14,3,72
Spring 2019,2/20/2019,Wednesday,2:30 PM,2,3,7,8,2,22
Spring 2019,2/20/2019,Wednesday,3:30 PM,17,5,10,3,3,38
Spring 2019,2/20/2019,Wednesday,4:30 PM,17,6,13,0,2,38
Spring 2019,2/20/2019,Wednesday,5:30 PM,11,3,12,1,0,27
Spring 2019,2/20/2019,Wednesday,6:30 PM,9,3,8,2,3,25
